Many	(C,27)
future	(I,24)
life	(I,23)
.	(O,|)
For	(O,|)
example	(O,|)
,	(O,|)
I	(P,18)
read	(I,17)
about	(I,16)
saving	(I,15)
money	(I,14)
for	(I,13)
my	(I,12)
retire	(I,11)
is	(I,10)
a	(I,9)
good	(I,8)
plan	(I,7)
for	(I,6)
my	(I,5)
life	(I,4)
.	(O,|)
Consequently	(O,|)
,	(O,|)
I	(P,19)
start	(I,18)
changing	(I,17)
myself	(I,16)
from	(I,15)
spending	(I,14)
many	(I,13)
thing	(I,12)
that	(I,11)
I	(I,10)
want	(I,9)
to	(I,8)
saving	(I,7)
money	(I,6)
for	(I,5)
my	(I,4)
entire	(I,3)
life	(I,2)
.	(O,|)
This	(P,17)
experience	(I,16)
change	(I,15)
me	(I,14)
to	(I,13)
concern	(I,12)
about	(I,11)
making	(I,10)
plan	(I,9)
for	(I,8)
my	(I,7)
future	(I,6)
life	(I,5)
.	(O,|)
In	(O,|)
conclusion	(O,|)
,	(O,|)
experiences	(C,22)
that	(I,21)
shape	(I,20)
my	(I,19)
thinking	(I,18)
and	(I,17)
the	(I,16)
way	(I,15)
to	(I,14)
live	(I,13)
my	(I,12)
life	(I,11)
are	(I,10)
teach	(I,9)
me	(I,8)
to	(I,7)
be	(I,6)
a	(I,5)
better	(I,4)
person	(I,3)
.	(O,|)
Because	(O,|)
I	(P,0)
could	(I,0)
find	(I,0)
a	(I,0)
better	(I,0)
way	(I,0)
to	(I,0)
solve	(I,0)
problems	(I,0)
.	(O,|)
Besides	(O,|)
,	(O,|)
experiences	(P,27)
could	(I,26)
shape	(I,25)
me	(I,24)
to	(I,23)
be	(I,22)
more	(I,21)
aware	(I,20)
about	(I,19)
my	(I,18)
health	(I,17)
.	(O,|)
Moreover	(O,|)
,	(O,|)
these	(P,13)
experiences	(I,12)
could	(I,11)
make	(I,10)
me	(I,9)
to	(I,8)
make	(I,7)
plan	(I,6)
for	(I,5)
my	(I,4)
future	(I,3)
life	(I,2)
.	(O,|)
These	(C,0)
experiences	(I,0)
taught	(I,0)
me	(I,0)
to	(I,0)
change	(I,0)
my	(I,0)
life	(I,0)
to	(I,0)
be	(I,0)
a	(I,0)
better	(I,0)
person	(I,0)
.	(O,|)
